DISTRICT,INVAGE,ROAD_CLASS,VISIBILITY,ACCLASS,TIME_OF_DAY,VEHTYPE
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Municipal Transit Bus (TTC)
Eto York,NK,Arterial,Rain,Non-Fatal,Evening,Other
Eto York,Adult,Arterial,Rain,Non-Fatal,Evening,Truck
Eto York,NK,Arterial,Rain,Non-Fatal,Evening,Other
Eto York,Youth,Arterial,Rain,Non-Fatal,Evening,"Automobile, Station Wagon"
Eto York,NK,Arterial,Clear,Non-Fatal,Morning,Other
Eto York,Senior,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Adult,Arterial,Clear,Non-Fatal,Morning,Bicycle
Scar,NK,Arterial,Clear,Non-Fatal,Night,Other
Scar,Youth,Arterial,Clear,Non-Fatal,Night,Other
Scar,Adoloscent,Arterial,Clear,Non-Fatal,Night,Other
Scar,Youth,Arterial,Clear,Non-Fatal,Night,"Automobile, Station Wagon"
Scar,Adult,Arterial,Clear,Non-Fatal,Morning,Other
Scar,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
N York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
N York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
N York,Adoloscent,Arterial,Clear,Non-Fatal,Afternoon,Other
N York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
N York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Truck
N York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
N York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,NK,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Eto York,NK,Arterial,Clear,Non-Fatal,Evening,Other
Scar,Adoloscent,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Scar,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Scar,Youth,Arterial,Clear,Non-Fatal,Evening,Other
N York,Youth,Arterial,Clear,Non-Fatal,Evening,Motorcycle
N York,NK,Arterial,Clear,Non-Fatal,Evening,Other
N York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Night,Other
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Night,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Night,Other
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Night,"Automobile, Station Wagon"
Tor & E York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Municipal Transit Bus (TTC)
Tor & E York,Senior,Arterial,Clear,Non-Fatal,Afternoon,Other
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,Child,Arterial,Clear,Non-Fatal,Afternoon,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Other
Tor & E York,Child,Arterial,Clear,Non-Fatal,Afternoon,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Evening,Other
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Evening,Other
Tor & E York,NK,Arterial,Clear,Non-Fatal,Evening,Other
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Eto York,NK,Arterial,Rain,Non-Fatal,Afternoon,Other
Eto York,Adult,Arterial,Rain,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,Senior,Arterial,Rain,Non-Fatal,Afternoon,Other
Eto York,Adult,Arterial,Rain,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
Eto York,Youth,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,Adoloscent,Arterial,Clear,Non-Fatal,Afternoon,Other
Eto York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
Eto York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,Senior,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Senior,Arterial,Clear,Non-Fatal,Evening,Other
Scar,Adult,Arterial,Clear,Non-Fatal,Morning,Other
Scar,Adult,Arterial,Clear,Non-Fatal,Morning,Other
Tor & E York,Adult,Local,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Child,Local,Clear,Non-Fatal,Evening,Bicycle
Eto York,Youth,Arterial,Clear,Non-Fatal,Night,Other
Eto York,Adult,Arterial,Clear,Non-Fatal,Night,Motorcycle
Scar,NK,Arterial,Other,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Scar,Adult,Arterial,Other,Non-Fatal,Afternoon,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Morning,Bicycle
